iter	Passed	Remaining
399	35286	52929
400	35368	52832
401	35448	52732
402	35531	52636
403	35616	52543
404	35701	52449
405	35786	52358
406	35870	52263
407	35954	52169
408	36040	52077
409	36121	51979
410	36204	51883
411	36288	51790
412	36372	51696
413	36456	51602
414	36553	51527
415	36637	51433
416	36723	51342
417	36809	51251
418	36892	51155
419	36978	51065
420	37064	50975
421	37152	50886
422	37235	50791
423	37320	50698
424	37403	50605
425	37487	50511
426	37571	50417
427	37653	50321
428	37737	50228
429	37824	50139
430	37906	50043
431	37986	49945
432	38071	49852
433	38157	49762
434	38240	49668
435	38325	49577
436	38408	49482
437	38490	49387
438	38577	49297
439	38662	49207
440	38747	49115
441	38834	49026
442	38919	48934
443	39006	48845
444	39089	48752
445	39178	48665
446	39262	48573
447	39349	48484
448	39431	48389
449	39514	48295
450	39602	48207
451	39688	48117
452	39771	48024
453	39856	47933
454	39940	47840
455	40022	47746
456	40109	47657
457	40192	47564
458	40273	47468
459	40358	47376
460	40440	47283
461	40520	47185
462	40604	47093
463	40685	46998
464	40767	46904
465	40852	46813
466	40936	46721
467	41019	46628
468	41105	46539
469	41189	46447
470	41272	46354
471	41359	46266
472	41440	46171
473	41521	46076
474	41605	45984
475	41688	45891
476	41769	45797
477	41856	45709
478	41942	45619
479	42025	45527
480	42120	45447
481	42204	45356
482	42289	45266
483	42377	45178
484	42459	45085
485	42541	44992
486	42626	44901
487	42710	44810
488	42794	44719
489	42878	44628
490	42962	44537
491	43044	44444
492	43128	44353
493	43210	44260
494	43290	44165
495	43373	44072
496	43454	43978
497	43534	43884
498	43620	43795
499	43704	43704
500	43788	43613
501	43871	43521
502	43954	43429
503	44032	43334
504	44115	43241
505	44196	43148
506	44277	43055
507	44363	42966
508	44447	42875
509	44530	42784
510	44622	42701
511	44707	42611
512	44792	42522
513	44879	42434
514	44964	42345
515	45049	42256
516	45133	42165
517	45220	42077
518	45304	41987
519	45386	41895
520	45470	41805
521	45553	41713
522	45638	41624
523	45723	41534
524	45808	41445
525	45893	41356
526	45971	41260
527	46051	41167
528	46131	41073
529	46210	40978
530	46289	40884
531	46369	40791
532	46454	40701
533	46538	40612
534	46622	40522
535	46706	40432
536	46791	40343
537	46880	40258
538	46965	40168
539	47049	40078
540	47136	39991
541	47221	39903
542	47302	39810
543	47385	39720
544	47467	39629
545	47549	39537
546	47632	39447
547	47718	39359
548	47803	39270
549	47891	39183
550	47973	39092
551	48054	39000
552	48135	38908
553	48220	38819
554	48299	38726
555	48382	38636
556	48465	38546
557	48547	38455
558	48632	38366
559	48719	38279
560	48802	38189
561	48886	38100
562	48969	38010
563	49052	37920
564	49138	37832
565	49226	37745
566	49312	37658
567	49397	37570
568	49480	37480
569	49565	37391
570	49652	37304
571	49736	37215
572	49818	37124
573	49906	37038
574	49989	36948
575	50071	36858
576	50155	36769
577	50239	36680
578	50322	36590
579	50410	36504
580	50492	36413
581	50573	36322
582	50658	36234
583	50744	36146
584	50828	36057
585	50915	35970
586	50999	35881
587	51083	35793
588	51221	35742
589	51345	35680
590	51429	35591
591	51515	35504
592	51598	35414
593	51685	35327
594	51770	35238
595	51854	35149
596	51939	35061
597	52020	34970
598	52102	34880
599	52187	34791
600	52272	34703
601	52358	34615
602	52443	34527
603	52526	34437
604	52608	34347
605	52695	34260
606	52779	34172
607	52866	34085
608	52953	33997
609	53038	33910
610	53123	33821
611	53211	33735
612	53293	33645
613	53374	33554
614	53462	33468
615	53552	33383
616	53636	33294
617	53721	33206
618	53801	33115
619	53885	33026
620	53979	32944
621	54064	32856
622	54149	32767
623	54240	32683
624	54328	32597
625	54412	32508
626	54496	32419
627	54581	32331
628	54668	32244
629	54754	32157
630	54840	32069
631	54925	31981
632	55011	31894
633	55098	31807
634	55182	31719
635	55266	31630
636	55352	31543
637	55437	31455
638	55522	31367
639	55607	31279
640	55694	31192
641	55777	31103
642	55861	31014
643	55944	30925
644	56030	30838
645	56110	30747
646	56194	30659
647	56283	30573
648	56366	30484
649	56447	30395
650	56532	30306
651	56612	30216
652	56695	30127
653	56779	30039
654	56862	29950
655	56948	29863
656	57036	29776
657	57119	29688
658	57203	29600
659	57287	29511
660	57372	29423
661	57456	29335
662	57550	29252
663	57638	29166
664	57725	29079
665	57818	28995
666	57907	28910
667	57993	28823
668	58081	28736
669	58166	28649
670	58255	28563
671	58345	28478
672	58433	28391
673	58524	28307
674	58614	28221
675	58700	28134
676	58784	28046
677	58869	27958
678	58950	27869
679	59035	27781
680	59125	27695
681	59215	27610
682	59302	27523
683	59392	27438
684	59479	27352
685	59562	27263
686	59649	27176
687	59733	27088
688	59820	27001
689	59910	26916
690	59996	26829
691	60081	26741
692	60167	26654
693	60253	26567
694	60337	26478
695	60423	26391
696	60509	26304
697	60594	26217
698	60681	26130
699	60764	26041
700	60848	25954
701	60939	25868
702	61024	25781
703	61112	25695
704	61199	25608
705	61285	25521
706	61369	25433
707	61458	25347
708	61542	25259
709	61629	25172
710	61719	25087
711	61805	24999
712	61888	24911
713	61973	24824
714	62057	24736
715	62142	24648
716	62231	24562
717	62315	24474
718	62400	24387
719	62488	24301
720	62572	24213
721	62657	24125
722	62746	24039
723	62827	23950
724	62910	23862
725	62999	23776
726	63084	23689
727	63168	23601
728	63252	23513
729	63333	23424
730	63418	23337
731	63507	23251
732	63594	23164
733	63681	23077
734	63769	22991
735	63853	22903
736	63935	22815
737	64018	22727
738	64104	22640
739	64187	22552
740	64275	22466
741	64360	22378
742	64445	22291
743	64531	22204
744	64617	22117
745	64701	22029
746	64788	21943
747	64874	21856
748	64959	21768
749	65045	21681
750	65130	21594
751	65214	21506
752	65298	21419
753	65380	21331
754	65464	21243
755	65550	21156
756	65634	21068
757	65716	20980
758	65802	20893
759	65885	20806
760	65969	20718
761	66055	20631
762	66140	20544
763	66225	20457
764	66322	20373
765	66406	20286
766	66492	20199
767	66576	20111
768	66660	20024
769	66746	19937
770	66834	19851
771	66918	19763
772	67004	19676
773	67092	19590
774	67176	19502
775	67258	19414
776	67343	19327
777	67425	19239
778	67508	19151
779	67592	19064
780	67675	18976
781	67761	18890
782	67849	18803
783	67937	18717
784	68023	18630
785	68107	18543
786	68189	18455
787	68270	18367
788	68354	18279
789	68436	18192
790	68525	18105
791	68612	18019
792	68696	17932
793	68779	17844
794	68864	17757
795	68950	17670
796	69032	17582
797	69117	17495
798	69201	17408
799	69289	17322
800	69381	17237
801	69469	17150
802	69557	17064
803	69644	16977
804	69729	16891
805	69814	16803
806	69897	16716
807	69979	16628
808	70061	16541
809	70145	16453
810	70229	16366
811	70314	16279
812	70399	16192
813	70483	16105
814	70563	16017
815	70648	15930
816	70731	15843
817	70815	15755
818	70900	15668
819	70983	15581
820	71066	15494
821	71151	15407
822	71237	15320
823	71324	15234
