iter	RMSE
399	1963237.968
400	1963003.88
401	1962543.853
402	1962297.808
403	1961934.235
404	1961481.48
405	1960761.868
406	1960201.869
407	1959637.767
408	1959045.494
409	1958451.197
410	1957695.49
411	1957409.351
412	1956783.36
413	1956472.494
414	1956112.416
415	1955432.138
416	1955099.333
417	1954435.17
418	1953934.31
419	1953573.36
420	1953164.159
421	1952733.696
422	1952280.272
423	1951724.619
424	1951381.812
425	1950920.791
426	1950402.917
427	1949919.266
428	1949383.23
429	1948912.127
430	1948370.845
431	1948060.371
432	1947689.94
433	1947079.788
434	1946781.792
435	1946262.032
436	1945691.112
437	1945383.552
438	1945052.806
439	1944515.977
440	1944027.565
441	1943652.436
442	1943366.76
443	1942943.585
444	1942294.131
445	1941890.098
446	1941555.716
447	1941125.946
448	1940844.723
449	1940564.39
450	1940289.824
451	1939886.739
452	1939687.673
453	1939062.914
454	1938568.391
455	1938243.606
456	1937788.695
457	1937351.363
458	1936888.83
459	1936530.81
460	1936143.054
461	1935864.79
462	1935373.667
463	1934733.618
464	1934173.695
465	1933620.764
466	1933036.8
467	1932560.226
468	1932022.82
469	1931611.802
470	1931129.668
471	1930519.592
472	1930060.79
473	1929769.957
474	1929257.37
475	1928723.963
476	1928397.792
477	1928015.463
478	1927558.331
479	1926875.809
480	1926536.054
481	1926222.626
482	1925732.956
483	1925256.854
484	1924930.239
485	1924262.59
486	1923851.969
487	1923279.415
488	1922743.362
489	1922375.559
490	1921922.297
491	1921432.922
492	1921141.432
493	1920746.626
494	1920355.885
495	1919845.679
496	1919276.298
497	1918779.537
498	1918334.727
499	1917708.18
500	1917303.395
501	1916509.881
502	1916124.75
503	1915704.493
504	1915382.676
505	1914919.463
506	1914619.011
507	1914312.285
508	1913825.68
509	1913539.547
510	1913126.53
511	1912770.557
512	1912359.897
513	1911873.529
514	1911506.836
515	1910983.561
516	1910547.223
517	1910094.33
518	1909653.005
519	1909218.321
520	1909010.335
521	1908601.083
522	1907806.88
523	1907333.36
524	1907003.833
525	1906627.474
526	1906136.594
527	1905624.304
528	1905304.442
529	1904941.837
530	1904374.626
531	1904019.425
532	1903604.407
533	1903185.9
534	1902823.118
535	1902342.889
536	1901921.738
537	1901550.885
538	1901070.376
539	1900701.315
540	1900231.551
541	1899872.513
542	1899263.227
543	1898797.447
544	1898400.048
545	1897846.574
546	1897656.855
547	1897189.285
548	1896889.913
549	1896363.603
550	1895875.46
551	1895352.874
552	1894934.894
553	1894615.551
554	1894196.343
555	1893727.121
556	1893180.853
557	1892847.592
558	1892426.686
559	1891970.274
560	1891537.178
561	1891114.947
562	1890675.728
563	1890397.083
564	1889886.513
565	1889635.87
566	1889309.713
567	1888791.296
568	1888473.31
569	1887977.644
570	1887550.782
571	1887228.22
572	1886934.697
573	1886514.375
574	1886088.116
575	1885631.522
576	1885247.302
577	1884752.647
578	1884308.272
579	1883947.518
580	1883530.853
581	1883038.097
582	1882517.104
583	1881881.704
584	1881320.608
585	1881127.974
586	1880870.373
587	1880496.468
588	1880199.709
589	1879684.502
590	1879433.757
591	1879041.99
592	1878710.127
593	1878404.148
594	1877961.604
595	1877244.96
596	1876986.955
597	1876543.146
598	1876186.971
599	1875728.279
600	1875308.323
601	1874935.186
602	1874477.24
603	1873946.653
604	1873728.124
605	1873233.234
606	1873000.559
607	1872595.938
608	1872185.978
609	1871654.097
610	1871314.248
611	1871032.931
612	1870821.035
613	1870551.773
614	1870282.618
615	1869983.472
616	1869588.17
617	1869268.651
618	1868895.849
619	1868635.965
620	1868264.33
621	1867903.94
622	1867396.101
623	1866899.234
624	1866511.484
625	1866156.799
626	1865835.699
627	1865545.945
628	1865184.316
629	1864750.749
630	1864469.304
631	1864142.692
632	1863684.061
633	1863338.383
634	1862728.769
635	1862437.366
636	1862049.464
637	1861520.759
638	1861186.984
639	1860765.268
640	1860468.701
641	1860218.033
642	1859931.302
643	1859564.389
644	1859335.446
645	1858802.473
646	1858417.392
647	1858182.232
648	1857813.614
649	1857458.672
650	1857070.554
651	1856780.627
652	1856510.399
653	1856088.211
654	1855608.029
655	1855283.072
656	1854838.269
657	1854352.299
658	1854014.654
659	1853746.296
660	1853446.55
661	1852991.048
662	1852485.74
663	1852013.605
664	1851772.826
665	1851449.268
666	1851224.799
667	1850949.109
668	1850485.854
669	1850027.085
670	1849669.861
671	1849307.368
672	1848958.236
673	1848468.53
674	1848069.137
675	1847872.284
676	1847406.112
677	1847003.937
678	1846695.987
679	1846432.077
680	1846053.451
681	1845758.881
682	1845537.298
683	1845247.918
684	1844882.914
685	1844569.291
686	1844227.624
687	1843895.711
688	1843723.264
689	1843320.1
690	1842757.862
691	1842364.452
692	1841969.969
693	1841763.206
694	1841152.479
695	1840670.704
696	1840249.077
697	1839893.34
698	1839440.035
699	1839177.578
700	1839011.558
701	1838562.84
702	1838221.817
703	1837945.46
704	1837717.479
705	1837360.28
706	1836847.429
707	1836349.735
708	1836036.704
709	1835690.699
710	1835353.792
711	1835010.605
712	1834740.131
713	1834317.743
714	1834090.095
715	1833698.975
716	1833358.453
717	1832991.84
718	1832801.522
719	1832385.125
720	1831805.484
721	1831228.386
722	1830933.797
723	1830602.462
724	1830405.08
725	1830003.636
726	1829738.773
727	1829247.905
728	1828951.115
729	1828338.554
730	1827961.29
731	1827784.399
732	1827215.245
733	1826835.947
734	1826380.557
735	1825854.014
736	1825392.444
737	1825135.33
738	1824726.234
739	1824216.173
740	1823938.237
741	1823377.896
742	1823170.16
743	1822546.733
744	1822165.114
745	1821730.229
746	1821568.598
747	1821206.949
748	1821027.089
749	1820821.493
750	1820525.376
751	1820177.967
752	1819685.681
753	1819384.812
754	1818929.236
755	1818522.403
756	1818332.774
757	1818033.705
758	1817690.934
759	1817392.567
760	1816993.434
761	1816734.123
762	1816532.2
763	1816126.766
764	1815691.106
765	1815233.878
766	1814846.218
767	1814602.339
768	1814217.184
769	1813835.688
770	1813379.917
771	1813099.973
772	1812658.126
773	1812306.676
774	1812077.014
775	1811764.435
776	1811473.857
777	1811120.851
778	1810922.696
779	1810607.017
780	1810218.346
781	1809843.663
782	1809452.131
783	1809118.086
784	1808747.483
785	1808368.359
786	1808122.35
787	1807789.464
788	1807326.56
789	1807003.088
790	1806637.997
791	1806296.02
792	1805873.317
793	1805464.83
794	1805309.199
795	1804974.838
796	1804573.199
797	1804206.205
798	1803840.926
799	1803499.493
800	1803012.986
801	1802607.369
802	1802234.418
803	1801972.58
804	1801545.734
805	1801141.452
806	1800725.801
807	1800471.578
808	1800129.389
809	1799760.875
810	1799353.111
811	1798923.031
812	1798684.39
813	1798400.992
814	1798098.621
815	1797723.049
